Date,ShareLink,ShareCommentary,Uber Story
7/7/2022,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6950843488108216320,"You're leaving money on the table.  
  
  You've worked for it. Now you need to capitalize on it. Here's how I did: 
  
  I was part of the early team at Uber Freight. One of the differences in the product we built was a  book it now  price that required no human touch or negotiation. The pro of this was efficiency and transparency: the price you saw is what you got. 
  
  After I left Uber Freight, I got in touch with a smaller Freight brokerage who had trouble growing in the heavy haul space. After asking a bunch of questions, we agreed to a consulting gig at $17k / month to help them juice their growth. 
  
  After looking at their business, it seemed they were losing money through a cumbersome booking process, and I helped them streamline it with transparency and automation that I had learned from Uber. 
  
  You have amazing knowledge from your experiences. It feels like common sense to you. That common sense is gold to the right person in the right situation. 
  
  Stop leaving money on the table, stop working for free, and monetize that knowledge. 
  
  #consulting #sideincome #monetizeyourknowledge","You're leaving money on the table.  
  
  You've worked for it. Now you need to capitalize on it. Here's how I did: 
  
  I was part of the early team at Uber Freight. One of the differences in the product we built was a  book it now  price that required no human touch or negotiation. The pro of this was efficiency and transparency: the price you saw is what you got. 
  
  After I left Uber Freight, I got in touch with a smaller Freight brokerage who had trouble growing in the heavy haul space. After asking a bunch of questions, we agreed to a consulting gig at $17k / month to help them juice their growth. 
  
  After looking at their business, it seemed they were losing money through a cumbersome booking process, and I helped them streamline it with transparency and automation that I had learned from Uber. 
  
  You have amazing knowledge from your experiences. It feels like common sense to you. That common sense is gold to the right person in the right situation. 
  
  Stop leaving money on the table, stop working for free, and monetize that knowledge. 
  
  #consulting #sideincome #monetizeyourknowledge"
3/8/2022,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6907056776727154688,"You:  I just don't know if my experience is really that valuable or if I can consult in my area of expertise. 
  
  CEO of Seed company:  Can you give me some insight into how you scaled Uber Eats in 5 different markets? 
  
  You:  Of course, let me share the playbook with you and help you avoid 10,000 mistakes. 
  
  CEO of Seed company:  Holy s*** you just saved me a ton of trial and error, and by executing this playbook, we can raise our Series A! 
  
  You now: Not charging enough, not valuing your experience, having imposter thoughts, and wondering if you can do it. 
  
  You soon: Flexible work, charging based on the value you provide, winning monthly retainers, no BS politics, enjoying the people you work with, having free time and flexibility in your work life, and making more than you did in a full-time W2 job. 
  
  Don't undervalue your experience. Please.  
  
  Sincerely, 
  Bradley and Mylance","You:  I just don't know if my experience is really that valuable or if I can consult in my area of expertise. 
  
  CEO of Seed company:  Can you give me some insight into how you scaled Uber Eats in 5 different markets? 
  
  You:  Of course, let me share the playbook with you and help you avoid 10,000 mistakes. 
  
  CEO of Seed company:  Holy s*** you just saved me a ton of trial and error, and by executing this playbook, we can raise our Series A! 
  
  You now: Not charging enough, not valuing your experience, having imposter thoughts, and wondering if you can do it. 
  
  You soon: Flexible work, charging based on the value you provide, winning monthly retainers, no BS politics, enjoying the people you work with, having free time and flexibility in your work life, and making more than you did in a full-time W2 job. 
  
  Don't undervalue your experience. Please.  
  
  Sincerely, 
  Bradley and Mylance"
5/29/2020,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6672283289308557312,"You get on the phone with a client and you have the answers they need. You want to tell a client everything they need to know. But you can't give it all away for free!  
  
  I got a great question from a customer earlier today. After an intro call with a potential client, she asked me, did I give away too much? Was I too nice? 
  
  No, you're not too nice. But your experience and skillset IS valuable. How do you find the balance between selling them on you, but also holding back valuable info that they should be paying for? 
  
  My recommendation, do a LOT of listening. When they ask you questions, respond with questions. Asking smart questions about their business shows them you know a ton about the topic at hand. 
  
  Further, drop a few tidbits from your experience.  Well when I was at Uber, we thought about it this way.  It validates that you've experienced it before, and your questions validate you know what you're talking about. 
  
  If you ask enough of the right questions, they'll know they need to work with you. Follow-up with a compelling proposal summarizing the company challenges and how your experience lines up to solve them, and you're in great shape! 
  
  Agree? Disagree? How do you do it!? 
  
  #freelance #closeclients #yourenottoonicce #negotiation #getmorebusiness","You get on the phone with a client and you have the answers they need. You want to tell a client everything they need to know. But you can't give it all away for free!  
  
  I got a great question from a customer earlier today. After an intro call with a potential client, she asked me, did I give away too much? Was I too nice? 
  
  No, you're not too nice. But your experience and skillset IS valuable. How do you find the balance between selling them on you, but also holding back valuable info that they should be paying for? 
  
  My recommendation, do a LOT of listening. When they ask you questions, respond with questions. Asking smart questions about their business shows them you know a ton about the topic at hand. 
  
  Further, drop a few tidbits from your experience.  Well when I was at Uber, we thought about it this way.  It validates that you've experienced it before, and your questions validate you know what you're talking about. 
  
  If you ask enough of the right questions, they'll know they need to work with you. Follow-up with a compelling proposal summarizing the company challenges and how your experience lines up to solve them, and you're in great shape! 
  
  Agree? Disagree? How do you do it!? 
  
  #freelance #closeclients #yourenottoonicce #negotiation #getmorebusiness"
2/14/2023,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7031365133037629440,"While Uber is no doubt a tech company driven by its product, Ops played a huge role early on in differentiating against the competition. 
  
  Here are 4 ways Ops helped grow Uber to a multi-billion company in a few short years: 
  
  1. Experimentation.  
  
  For new product features, Ops teams had to prove the ROI and use case. We built hacky solutions to A/B test solutions to see what worked. That way, the product teams already knew the solutions would be successful. We'd start an experiment in one city. If it worked, we'd add a few cities, and then a few more. We'd get statistically significant results, and then share with the product teams to review and add to the roadmap. 
  
  2. New city launches 
  
  Uber had designated city launchers that would travel the world, launch a new city, and hand off the business to a GM / city team. These people would navigate the regulations, acquire customers, set up the internal tools structure, implement a quick marketing plan, and make sure the launch went successfully before they moved on.  
  
  3. Ops acted as city CEOs.  
  
  For the first 6-7 years of the company, city teams had full ownership over their cities. They had sole discretion of comms, pricing, incentives, events, and even loyalty programs. Uber eventually needed to unify this under one roof, but in the early days, Uber hired talented, ambitious leaders and gave them full ownership to empower them to grow their cities, and it WORKED. These leaders would share best practices with the other city GMs, enabling cities and regions to grow in tandem.  
  
  4. Ops leaders came from tech, not transportation.  
  
  Uber didn't hire taxi dispatchers to build a global ridesharing operation. Instead, they hired experienced leaders from tech, consulting, engineering, and finance. These people had strong EQs to be customer-facing, but also had the talent to run operations, marketing, and finance. Further, they didn't come from the taxi or black car industries, thus weren't biased in how to grow a transportation network. They could re-think it from scratch and implement innovative solutions to problems. 
  
  There's no right way to build a company. But the experience at Uber taught me a ton about how a tech company can find PMF and then quickly scale to millions of users.","While Uber is no doubt a tech company driven by its product, Ops played a huge role early on in differentiating against the competition. 
  
  Here are 4 ways Ops helped grow Uber to a multi-billion company in a few short years: 
  
  1. Experimentation.  
  
  For new product features, Ops teams had to prove the ROI and use case. We built hacky solutions to A/B test solutions to see what worked. That way, the product teams already knew the solutions would be successful. We'd start an experiment in one city. If it worked, we'd add a few cities, and then a few more. We'd get statistically significant results, and then share with the product teams to review and add to the roadmap. 
  
  2. New city launches 
  
  Uber had designated city launchers that would travel the world, launch a new city, and hand off the business to a GM / city team. These people would navigate the regulations, acquire customers, set up the internal tools structure, implement a quick marketing plan, and make sure the launch went successfully before they moved on.  
  
  3. Ops acted as city CEOs.  
  
  For the first 6-7 years of the company, city teams had full ownership over their cities. They had sole discretion of comms, pricing, incentives, events, and even loyalty programs. Uber eventually needed to unify this under one roof, but in the early days, Uber hired talented, ambitious leaders and gave them full ownership to empower them to grow their cities, and it WORKED. These leaders would share best practices with the other city GMs, enabling cities and regions to grow in tandem.  
  
  4. Ops leaders came from tech, not transportation.  
  
  Uber didn't hire taxi dispatchers to build a global ridesharing operation. Instead, they hired experienced leaders from tech, consulting, engineering, and finance. These people had strong EQs to be customer-facing, but also had the talent to run operations, marketing, and finance. Further, they didn't come from the taxi or black car industries, thus weren't biased in how to grow a transportation network. They could re-think it from scratch and implement innovative solutions to problems. 
  
  There's no right way to build a company. But the experience at Uber taught me a ton about how a tech company can find PMF and then quickly scale to millions of users."
6/12/2019,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6544620050698121216,"When we launched UberEATS in Miami, we were very concerned about Amazon Restaurants because they were Amazon. We spent quite a bit of time researching their offering to compete against them. Three years later, they’re shutting down.  
  
  If you’re launching a business that competes against a mammoth, don’t be overly worried. Out-strategize and out-execute them, and you may just be fine. You don’t know what resources they’re throwing at the problem, you don’t know where it sits on their priority list, and you certainly should not assume just because they’re successful at one thing, means they’ll be successful at all things. Don’t be afraid to go up against the big player - move fast, work hard, hire amazing talent, and you’ll have a good chance to win  
  
  https://lnkd.in/gsB_2NW","When we launched UberEATS in Miami, we were very concerned about Amazon Restaurants because they were Amazon. We spent quite a bit of time researching their offering to compete against them. Three years later, they’re shutting down.  
  
  If you’re launching a business that competes against a mammoth, don’t be overly worried. Out-strategize and out-execute them, and you may just be fine. You don’t know what resources they’re throwing at the problem, you don’t know where it sits on their priority list, and you certainly should not assume just because they’re successful at one thing, means they’ll be successful at all things. Don’t be afraid to go up against the big player - move fast, work hard, hire amazing talent, and you’ll have a good chance to win  
  
  https://lnkd.in/gsB_2NW"
4/4/2023,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7049098323068088320,"When Uber and Lyft both launched Raleigh on the same day in 2014, no one could have predicted the outcome.  
  
  Six months later, Uber had 90% market share in the area. 4 things Uber did to come out on top: 
  
  1. Focused on a small geographic area: Instead of trying to cover the entire region, Uber launched in a 7-mile circle in downtown Raleigh, where demand was highest. This allowed them to match rider and driver demand more effectively and keep ETAs under 5 minutes, which was their main KPI at the time. 
  
  2. Used targeted incentives to get more drivers on the road: To achieve their ambitious ETAs, Uber needed more drivers on the road, especially during peak hours. So they used data analysis to identify times when demand was high and offered targeted financial incentives to drivers who were willing to work during those times. 
  
  3. Leveraged local city teams: Unlike Lyft, which was headquartered in San Francisco and oversaw operations nationwide, Uber had dedicated city teams in Raleigh. This allowed them to be more nimble and responsive to local events and trends, and to build stronger relationships with riders and drivers in the area. 
  
  4. Focused on quality over quantity: While Lyft was busy expanding to neighboring cities like Durham and Chapel Hill, Uber stayed focused on improving the rider and driver experience in their core market. They worked closely with drivers to address concerns and feedback, and made sure every support ticket was answered promptly. 
  
  The lesson for other startups is clear: don't try to do everything at once.  
  
  Focus on a core market, listen to your customers, and execute flawlessly.","When Uber and Lyft both launched Raleigh on the same day in 2014, no one could have predicted the outcome.  
  
  Six months later, Uber had 90% market share in the area. 4 things Uber did to come out on top: 
  
  1. Focused on a small geographic area: Instead of trying to cover the entire region, Uber launched in a 7-mile circle in downtown Raleigh, where demand was highest. This allowed them to match rider and driver demand more effectively and keep ETAs under 5 minutes, which was their main KPI at the time. 
  
  2. Used targeted incentives to get more drivers on the road: To achieve their ambitious ETAs, Uber needed more drivers on the road, especially during peak hours. So they used data analysis to identify times when demand was high and offered targeted financial incentives to drivers who were willing to work during those times. 
  
  3. Leveraged local city teams: Unlike Lyft, which was headquartered in San Francisco and oversaw operations nationwide, Uber had dedicated city teams in Raleigh. This allowed them to be more nimble and responsive to local events and trends, and to build stronger relationships with riders and drivers in the area. 
  
  4. Focused on quality over quantity: While Lyft was busy expanding to neighboring cities like Durham and Chapel Hill, Uber stayed focused on improving the rider and driver experience in their core market. They worked closely with drivers to address concerns and feedback, and made sure every support ticket was answered promptly. 
  
  The lesson for other startups is clear: don't try to do everything at once.  
  
  Focus on a core market, listen to your customers, and execute flawlessly."
1/2/2023,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7015765052452425728,"When I worked in Corporate at Uber: 
  
  Total annual comp: $180k 
  Hours of meetings per day: 6 
  Hours per week worked: ~65 
  Average hourly rate: $56 / hour  
  
  When I worked on my own as an expert consultant: 
  
  Total annual comp: $310k 
  Hours of meetings per day: 1 
  Hours per week worked: ~30 
  Average hourly rate: $210 / hour  
  
  It's a new year, but the choice remains the same, and is entirely up to you.","When I worked in Corporate at Uber: 
  
  Total annual comp: $180k 
  Hours of meetings per day: 6 
  Hours per week worked: ~65 
  Average hourly rate: $56 / hour  
  
  When I worked on my own as an expert consultant: 
  
  Total annual comp: $310k 
  Hours of meetings per day: 1 
  Hours per week worked: ~30 
  Average hourly rate: $210 / hour  
  
  It's a new year, but the choice remains the same, and is entirely up to you."
2/12/2023,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7030569269645987840,"When I tell people Uber Freight became a $1B brand in 2 years, they often think it’s because of Uber’s significant investment in money and resources. 
  
  On the inside, it felt like a completely different story. 
  
  The first two things we did had nothing to do with how much money Uber raised: 
  
  1. We talked to users.  
  
  We went to truck stops in Dallas, Texas and spoke to a few hundred truck drivers. We asked them about their pain points, we took detailed notes, and we compiled all our data so we could analyze and find takeaways. 
  
  2. We did things that don’t scale.  
  
  We moved loads manually. While moving freight loads isn’t super novel, it allowed us to get into the weeds of what a tech product would need to look like, and automate from the inside out. Further, it helped us build relationships with our users and get off the ground so that when the tech was ready, we'd have users to adopt it. 
  
  At some level, it doesn’t matter how many resources you have.  
  
  While it certainly helps to be able to hire talented people to build the company, there are no shortcuts to finding product market fit and building tech that users will actually use!","When I tell people Uber Freight became a $1B brand in 2 years, they often think it’s because of Uber’s significant investment in money and resources. 
  
  On the inside, it felt like a completely different story. 
  
  The first two things we did had nothing to do with how much money Uber raised: 
  
  1. We talked to users.  
  
  We went to truck stops in Dallas, Texas and spoke to a few hundred truck drivers. We asked them about their pain points, we took detailed notes, and we compiled all our data so we could analyze and find takeaways. 
  
  2. We did things that don’t scale.  
  
  We moved loads manually. While moving freight loads isn’t super novel, it allowed us to get into the weeds of what a tech product would need to look like, and automate from the inside out. Further, it helped us build relationships with our users and get off the ground so that when the tech was ready, we'd have users to adopt it. 
  
  At some level, it doesn’t matter how many resources you have.  
  
  While it certainly helps to be able to hire talented people to build the company, there are no shortcuts to finding product market fit and building tech that users will actually use!"
8/11/2021,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6831028471846850560,"When I left Uber, I went through my LinkedIn inbound messages and responded that I wasn't open to full-time jobs, but I would be open to helping part-time as a consultant.  
  
  It was a shot in the dark. I had no idea if this was possible for someone like me. 
  
  I responded to 12 companies. 11 said  no  or didn't respond. 1 responded favorably, and asked to talk further. 
  
  That one company who did respond ended up being my first consulting client.  
  
  You're not going to shoot 100%. Or even 50%. But if you put yourself out there enough times, you're going to eventually find success. 
  
  I didn't know what was possible until I asked for it. And turns out not only was it possible, but it would change my life forever. 
  
  What do you have to lose? The bigger loss is not ever trying. 
  
  #justtryit #putyourselfoutthere #makeithappen","When I left Uber, I went through my LinkedIn inbound messages and responded that I wasn't open to full-time jobs, but I would be open to helping part-time as a consultant.  
  
  It was a shot in the dark. I had no idea if this was possible for someone like me. 
  
  I responded to 12 companies. 11 said  no  or didn't respond. 1 responded favorably, and asked to talk further. 
  
  That one company who did respond ended up being my first consulting client.  
  
  You're not going to shoot 100%. Or even 50%. But if you put yourself out there enough times, you're going to eventually find success. 
  
  I didn't know what was possible until I asked for it. And turns out not only was it possible, but it would change my life forever. 
  
  What do you have to lose? The bigger loss is not ever trying. 
  
  #justtryit #putyourselfoutthere #makeithappen"
2/6/2020,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6631195279158849538,"When I left Uber, I knew I wanted to do something on my own. I didn't know what, but I was open to trying new things. To fund these experiments, I wanted to find a part-time, contract role that paid the bills. 
  
  So, I started responding to Linkedin messages from recruiters saying I wasn't looking for a full-time job, but I was open to part-time. I responded to 12 companies. 11 companies either didn't respond or told me no. One company said they were open to it. 
  
  That ended up being my first client, and the start of my freelance consulting  career.  The 11 rejections hurt a little. Being told  no  is never fun. But it's going to be part of the process if you're going to try new things, so better get used to it sooner or later. 
  
  Look at  no  as an opportunity. If you don't get told no, you haven't pushed hard enough or asked for enough. Make sure you find  no  before you agree to a  yes. 
  
  Agree? Disagree? Share your thoughts below! 
  
  #rejection #opportunity #startups #consulting #freelance #beyourownboss #takerisks","When I left Uber, I knew I wanted to do something on my own. I didn't know what, but I was open to trying new things. To fund these experiments, I wanted to find a part-time, contract role that paid the bills. 
  
  So, I started responding to Linkedin messages from recruiters saying I wasn't looking for a full-time job, but I was open to part-time. I responded to 12 companies. 11 companies either didn't respond or told me no. One company said they were open to it. 
  
  That ended up being my first client, and the start of my freelance consulting  career.  The 11 rejections hurt a little. Being told  no  is never fun. But it's going to be part of the process if you're going to try new things, so better get used to it sooner or later. 
  
  Look at  no  as an opportunity. If you don't get told no, you haven't pushed hard enough or asked for enough. Make sure you find  no  before you agree to a  yes. 
  
  Agree? Disagree? Share your thoughts below! 
  
  #rejection #opportunity #startups #consulting #freelance #beyourownboss #takerisks"
